Unnamed: 0,position,title,snippet,highlighs,link,displayed_link,sentiment
0,0,Elon Musk (@elonmusk) / X,"Elon Musk's posts ; 25K. 58K ; What say you, big brands? · 3K. 2K ; Amazing lmaooo · 2K. 1K ; SpaceX Falcon rocket just launched · 2K. 1K ; And another. @CommunityNotes.","[""Elon Musk's""]",https://twitter.com/elonmusk,https://twitter.com › elonmusk,positive
1,1,Elon Musk,"Conversation. Elon Musk · @elonmusk. You have said the actual truth. 9:52 PM · Nov 15, 2023 · 5,880. Reposts · 2,537. Quotes.",['Elon Musk'],https://twitter.com/elonmusk/status/1724908287471272299,https://twitter.com › elonmusk › status,neutral
2,2,Elon Musk,"Elon Musk. @elonmusk. This past week, there were hundreds of bogus media stories claiming that I am antisemitic. Nothing could be further from ...",['Elon Musk'],https://twitter.com/elonmusk/status/1726350631181717668,https://twitter.com › elonmusk › status,negative
3,3,Elon Musk - SpaceX Falcon rocket just launched,Log in · Sign up. Conversation. Elon Musk · @elonmusk. SpaceX Falcon rocket just launched. Embedded video.,['Elon Musk'],https://twitter.com/elonmusk/status/1729355715599294790,https://twitter.com › elonmusk › status,neutral
4,4,"Elon Musk on X: ""I will resign as CEO as soon as I find ...","Elon Musk. @elonmusk. I will resign as CEO as soon as I find someone foolish enough to take the job! After that, I will just run the software ...",['Elon Musk'],https://twitter.com/elonmusk/status/1605372724800393216,https://twitter.com › elonmusk › status,neutral
5,5,Elon Musk,"Log in · Sign up. Conversation. Elon Musk · @elonmusk. Image. 9:39 PM · Nov 25, 2023 · 35.5K. Reposts · 1,899. Quotes.",['Elon Musk'],https://twitter.com/elonmusk/status/1728528785295757715,https://twitter.com › elonmusk › status,neutral
6,6,Elon Musk,Elon Musk · @elonmusk. Language being proposed as law in Ireland means this could literally happen to you for having a meme on your phone. Quote.,['Elon Musk'],https://twitter.com/elonmusk/status/1728936946049974650,https://twitter.com › elonmusk › status,neutral
7,7,"Trite as it may sound, I wish for world peace","Conversation. Elon Musk · @elonmusk. Trite as it may sound, I wish for world peace. 7:37 PM · Nov 27, 2023.",['Elon Musk'],https://twitter.com/elonmusk/status/1729222867890651456,https://twitter.com › elonmusk › status,positive
8,8,"Elon Musk on X: ""What say you, big brands?"" / X","Log in · Sign up. Conversation. Elon Musk · @elonmusk. What say you, big brands? Quote.",['Elon Musk'],https://twitter.com/elonmusk/status/1729366283370512685,https://twitter.com › elonmusk › status,neutral
9,0,Elon Musk (@elonmusk) / X,"Elon Musk's posts ; 25K. 58K ; What say you, big brands? · 3K. 2K ; Amazing lmaooo · 2K. 1K ; SpaceX Falcon rocket just launched · 2K. 1K ; And another. @CommunityNotes.","[""Elon Musk's""]",https://twitter.com/elonmusk,https://twitter.com › elonmusk,positive
10,1,Elon Musk,"Conversation. Elon Musk · @elonmusk. You have said the actual truth. 9:52 PM · Nov 15, 2023 · 5,880. Reposts · 2,537. Quotes.",['Elon Musk'],https://twitter.com/elonmusk/status/1724908287471272299,https://twitter.com › elonmusk › status,neutral
11,2,Elon Musk,"Elon Musk. @elonmusk. This past week, there were hundreds of bogus media stories claiming that I am antisemitic. Nothing could be further from ...",['Elon Musk'],https://twitter.com/elonmusk/status/1726350631181717668,https://twitter.com › elonmusk › status,negative
12,3,Elon Musk - SpaceX Falcon rocket just launched,Log in · Sign up. Conversation. Elon Musk · @elonmusk. SpaceX Falcon rocket just launched. Embedded video.,['Elon Musk'],https://twitter.com/elonmusk/status/1729355715599294790,https://twitter.com › elonmusk › status,neutral
13,4,"Elon Musk on X: ""I will resign as CEO as soon as I find ...","Elon Musk. @elonmusk. I will resign as CEO as soon as I find someone foolish enough to take the job! After that, I will just run the software ...",['Elon Musk'],https://twitter.com/elonmusk/status/1605372724800393216,https://twitter.com › elonmusk › status,neutral
14,5,Elon Musk,"Log in · Sign up. Conversation. Elon Musk · @elonmusk. Image. 9:39 PM · Nov 25, 2023 · 35.5K. Reposts · 1,899. Quotes.",['Elon Musk'],https://twitter.com/elonmusk/status/1728528785295757715,https://twitter.com › elonmusk › status,neutral
15,6,Elon Musk,Elon Musk · @elonmusk. Language being proposed as law in Ireland means this could literally happen to you for having a meme on your phone. Quote.,['Elon Musk'],https://twitter.com/elonmusk/status/1728936946049974650,https://twitter.com › elonmusk › status,neutral
16,7,"Trite as it may sound, I wish for world peace","Conversation. Elon Musk · @elonmusk. Trite as it may sound, I wish for world peace. 7:37 PM · Nov 27, 2023.",['Elon Musk'],https://twitter.com/elonmusk/status/1729222867890651456,https://twitter.com › elonmusk › status,positive
17,8,"Elon Musk on X: ""What say you, big brands?"" / X","Log in · Sign up. Conversation. Elon Musk · @elonmusk. What say you, big brands? Quote.",['Elon Musk'],https://twitter.com/elonmusk/status/1729366283370512685,https://twitter.com › elonmusk › status,neutral
18,0,Elon Musk (@elonmusk) / X,"Elon Musk's posts ; 25K. 58K ; What say you, big brands? · 3K. 2K ; Amazing lmaooo · 2K. 1K ; SpaceX Falcon rocket just launched · 2K. 1K ; And another. @CommunityNotes.","[""Elon Musk's""]",https://twitter.com/elonmusk,https://twitter.com › elonmusk,positive
19,1,Elon Musk,"Conversation. Elon Musk · @elonmusk. You have said the actual truth. 9:52 PM · Nov 15, 2023 · 5,880. Reposts · 2,537. Quotes.",['Elon Musk'],https://twitter.com/elonmusk/status/1724908287471272299,https://twitter.com › elonmusk › status,neutral
20,2,Elon Musk,"Elon Musk. @elonmusk. This past week, there were hundreds of bogus media stories claiming that I am antisemitic. Nothing could be further from ...",['Elon Musk'],https://twitter.com/elonmusk/status/1726350631181717668,https://twitter.com › elonmusk › status,negative
21,3,Elon Musk - SpaceX Falcon rocket just launched,Log in · Sign up. Conversation. Elon Musk · @elonmusk. SpaceX Falcon rocket just launched. Embedded video.,['Elon Musk'],https://twitter.com/elonmusk/status/1729355715599294790,https://twitter.com › elonmusk › status,neutral
22,4,"Elon Musk on X: ""I will resign as CEO as soon as I find ...","Elon Musk. @elonmusk. I will resign as CEO as soon as I find someone foolish enough to take the job! After that, I will just run the software ...",['Elon Musk'],https://twitter.com/elonmusk/status/1605372724800393216,https://twitter.com › elonmusk › status,neutral
23,5,Elon Musk,"Log in · Sign up. Conversation. Elon Musk · @elonmusk. Image. 9:39 PM · Nov 25, 2023 · 35.5K. Reposts · 1,899. Quotes.",['Elon Musk'],https://twitter.com/elonmusk/status/1728528785295757715,https://twitter.com › elonmusk › status,neutral
24,6,Elon Musk,Elon Musk · @elonmusk. Language being proposed as law in Ireland means this could literally happen to you for having a meme on your phone. Quote.,['Elon Musk'],https://twitter.com/elonmusk/status/1728936946049974650,https://twitter.com › elonmusk › status,neutral
25,7,"Trite as it may sound, I wish for world peace","Conversation. Elon Musk · @elonmusk. Trite as it may sound, I wish for world peace. 7:37 PM · Nov 27, 2023.",['Elon Musk'],https://twitter.com/elonmusk/status/1729222867890651456,https://twitter.com › elonmusk › status,positive
26,8,"Elon Musk on X: ""What say you, big brands?"" / X","Log in · Sign up. Conversation. Elon Musk · @elonmusk. What say you, big brands? Quote.",['Elon Musk'],https://twitter.com/elonmusk/status/1729366283370512685,https://twitter.com › elonmusk › status,neutral
